student_id,full_name,major,grad_year
SV4000,Nguyen Van A,Kinh tế,2022
SV4001,Pham Thi D,Quản trị kinh doanh,2023
SV4002,Le Van C,Kinh tế,2021
SV4003,Nguyen Van A,Công nghệ thông tin,2022
SV4004,Nguyen Van A,Quản trị kinh doanh,2021
SV4005,Pham Thi D,Quản trị kinh doanh,2023
SV4006,Pham Thi D,Quản trị kinh doanh,2022
SV4007,Le Van C,Quản trị kinh doanh,2022
SV4008,Pham Thi D,Kinh tế,2023
SV4009,Nguyen Van A,Quản trị kinh doanh,2023
SV4010,Hoang Van E,Quản trị kinh doanh,2022
SV4011,Pham Thi D,Kinh tế,2023
SV4012,Hoang Van E,Quản trị kinh doanh,2023
SV4013,Tran Thi B,Kinh tế,2021
SV4014,Hoang Van E,Kinh tế,2023
SV4015,Pham Thi D,Quản trị kinh doanh,2021
SV4016,Nguyen Van A,Quản trị kinh doanh,2023
SV4017,Hoang Van E,Công nghệ thông tin,2022
SV4018,Hoang Van E,Kinh tế,2021
SV4019,Nguyen Van A,Công nghệ thông tin,2023
SV4020,Hoang Van E,Công nghệ thông tin,2022
SV4021,Hoang Van E,Công nghệ thông tin,2021
SV4022,Le Van C,Kinh tế,2022
SV4023,Hoang Van E,Quản trị kinh doanh,2023
SV4024,Hoang Van E,Quản trị kinh doanh,2022
SV4025,Le Van C,Công nghệ thông tin,2022
SV4026,Le Van C,Kinh tế,2022
SV4027,Pham Thi D,Công nghệ thông tin,2023
SV4028,Nguyen Van A,Quản trị kinh doanh,2023
SV4029,Le Van C,Công nghệ thông tin,2021
SV4030,Pham Thi D,Kinh tế,2023
SV4031,Tran Thi B,Công nghệ thông tin,2021
SV4032,Tran Thi B,Công nghệ thông tin,2023
SV4033,Nguyen Van A,Kinh tế,2021
SV4034,Le Van C,Công nghệ thông tin,2023
SV4035,Tran Thi B,Công nghệ thông tin,2022
SV4036,Hoang Van E,Công nghệ thông tin,2023
SV4037,Tran Thi B,Công nghệ thông tin,2022
SV4038,Tran Thi B,Quản trị kinh doanh,2023
SV4039,Nguyen Van A,Quản trị kinh doanh,2022
SV4040,Nguyen Van A,Kinh tế,2022
SV4041,Nguyen Van A,Công nghệ thông tin,2022
SV4042,Pham Thi D,Công nghệ thông tin,2022
SV4043,Nguyen Van A,Công nghệ thông tin,2022
SV4044,Pham Thi D,Quản trị kinh doanh,2022
SV4045,Tran Thi B,Công nghệ thông tin,2023
SV4046,Nguyen Van A,Công nghệ thông tin,2022
SV4047,Hoang Van E,Công nghệ thông tin,2023
SV4048,Pham Thi D,Kinh tế,2023
SV4049,Pham Thi D,Kinh tế,2022
SV4050,Nguyen Van A,Công nghệ thông tin,2022
SV4051,Le Van C,Kinh tế,2023
SV4052,Hoang Van E,Kinh tế,2022
SV4053,Le Van C,Quản trị kinh doanh,2023
SV4054,Pham Thi D,Công nghệ thông tin,2021
SV4055,Nguyen Van A,Kinh tế,2021
SV4056,Pham Thi D,Công nghệ thông tin,2021
SV4057,Hoang Van E,Quản trị kinh doanh,2022
SV4058,Le Van C,Kinh tế,2021
SV4059,Nguyen Van A,Quản trị kinh doanh,2022
SV4060,Tran Thi B,Kinh tế,2021
SV4061,Tran Thi B,Kinh tế,2022
SV4062,Le Van C,Công nghệ thông tin,2022
SV4063,Tran Thi B,Quản trị kinh doanh,2023
SV4064,Tran Thi B,Quản trị kinh doanh,2023
SV4065,Hoang Van E,Quản trị kinh doanh,2023
SV4066,Le Van C,Quản trị kinh doanh,2023
SV4067,Nguyen Van A,Quản trị kinh doanh,2021
SV4068,Hoang Van E,Công nghệ thông tin,2023
SV4069,Pham Thi D,Kinh tế,2022
SV4070,Pham Thi D,Quản trị kinh doanh,2021
SV4071,Nguyen Van A,Quản trị kinh doanh,2022
SV4072,Tran Thi B,Kinh tế,2022
SV4073,Le Van C,Kinh tế,2022
SV4074,Pham Thi D,Công nghệ thông tin,2022
SV4075,Hoang Van E,Quản trị kinh doanh,2023
SV4076,Pham Thi D,Kinh tế,2021
SV4077,Le Van C,Công nghệ thông tin,2023
SV4078,Nguyen Van A,Kinh tế,2021
SV4079,Pham Thi D,Quản trị kinh doanh,2023
SV4080,Hoang Van E,Quản trị kinh doanh,2022
SV4081,Hoang Van E,Kinh tế,2021
SV4082,Hoang Van E,Kinh tế,2022
SV4083,Tran Thi B,Công nghệ thông tin,2021
SV4084,Hoang Van E,Công nghệ thông tin,2023
SV4085,Tran Thi B,Kinh tế,2022
SV4086,Le Van C,Công nghệ thông tin,2023
SV4087,Nguyen Van A,Công nghệ thông tin,2022
SV4088,Tran Thi B,Công nghệ thông tin,2023
SV4089,Hoang Van E,Quản trị kinh doanh,2023
SV4090,Pham Thi D,Công nghệ thông tin,2023
SV4091,Hoang Van E,Công nghệ thông tin,2021
SV4092,Tran Thi B,Kinh tế,2022
SV4093,Hoang Van E,Công nghệ thông tin,2023
SV4094,Tran Thi B,Quản trị kinh doanh,2021
SV4095,Tran Thi B,Quản trị kinh doanh,2022
SV4096,Pham Thi D,Quản trị kinh doanh,2022
SV4097,Tran Thi B,Quản trị kinh doanh,2023
SV4098,Tran Thi B,Quản trị kinh doanh,2023
SV4099,Tran Thi B,Quản trị kinh doanh,2022
